match_id,home_team,away_team,home_goals,away_goals,result,home_player1,home_player2,home_player3,home_player4,home_player5,home_player6,home_player7,home_player8,home_player9,home_player10,home_player11,home_player12,home_player13,home_player14,away_player1,away_player2,away_player3,away_player4,away_player5,away_player6,away_player7,away_player8,away_player9,away_player10,away_player11,away_player12,away_player13,away_player14
22507,West Ham United,Arsenal,0,0,0, Adrian , Aaron Cresswell , Pablo Zabaleta , Winston Reid , Arthur Masuaku , Angelo Ogbonna , Mark Noble , Manuel Lanzini , Pedro Obiang , Michail Antonio , Marko Arnautovic , Chicharito ,,, Petr Cech , Hector Bellerin , Laurent Koscielny , Nacho Monreal , Ainsley Maitland-Niles , Mesut Ozil , Jack Wilshere , Granit Xhaka , Alexis Sanchez , Olivier Giroud , Alex Iwobi , Danny Welbeck , Alexandre Lacazette ,
22508,Liverpool,West Bromwich Albion,0,0,0, Loris Karius , Dejan Lovren , Ragnar Klavan , Trent Alexander-Arnold , Andrew Robertson , Georginio Wijnaldum , Sadio Mane , Coutinho , Emre Can , Mohamed Salah , Roberto Firmino , Joseph Gomez , Alex Oxlade-Chamberlain , Dominic Solanke , Ben Foster , Kieran Gibbs , Allan Nyom , Jonny Evans , Ahmed Hegazi , Grzegorz Krychowiak , Jake Livermore , James McClean , Hal Robson-Kanu , Claudio Yacob , Salomon Rondon , Chris Brunt , Jay Rodriguez ,
22509,Newcastle United,Everton,0,1,-1, Karl Darlow , Jamaal Lascelles , Javier Manquillo , Florian Lejeune , DeAndre Yedlin , Mohamed Diame , Matt Ritchie , Christian Atsu , Mikel Merino , Jonjo Shelvey , Dwight Gayle , Rolando Aarons , Joselu , Ayoze Perez , Jordan Pickford , Ashley Williams , Cuco Martina , Jonjoe Kenny , Mason Holgate , Gylfi Sigurdsson , Idrissa Gueye , Aaron Lennon , Wayne Rooney , Morgan Schneiderlin , Dominic Calvert-Lewin , Phil Jagielka , Tom Davies , Nikola Vlasic 
22510,Southampton,Leicester City,1,4,-1, Fraser Forster , Maya Yoshida , Ryan Bertrand , Virgil van Dijk , Cedric Soares , Oriol Romeu , Steven Davis , Mario Lemina , Dusan Tadic , Sofiane Boufal , Charlie Austin , Nathan Redmond , James Ward-Prowse , Manolo Gabbiadini , Kasper Schmeichel , Christian Fuchs , Danny Simpson , Wes Morgan , Harry Maguire , Ben Chilwell , Shinji Okazaki , Wilfred Ndidi , Riyad Mahrez , Andy King , Jamie Vardy , Marc Albrighton , Demarai Gray , Leonardo Ulloa 
22511,Tottenham Hotspur,Brighton and Hove Albion,2,0,1, Hugo Lloris , Jan Vertonghen , Eric Dier , Serge Aurier , Danny Rose , Christian Eriksen , Son Heung-Min , Erik Lamela , Moussa Sissoko , Harry Winks , Harry Kane , Ben Davies , Dele Alli , Mousa Dembele , Mat Ryan , Shane Duffy , Lewis Dunk , Ezequiel Schelotto , Gaetan Bong , Jose Izquierdo , Dale Stephens , Beram Kayal , Davy Propper , Anthony Knockaert , Tomer Hemed , Solly March , Pascal Gross , Glenn Murray 
22512,Arsenal,Newcastle United,1,0,1, Petr Cech , Hector Bellerin , Laurent Koscielny , Nacho Monreal , Ainsley Maitland-Niles , Mesut Ozil , Jack Wilshere , Granit Xhaka , Alexandre Lacazette , Alexis Sanchez , Alex Iwobi , Francis Coquelin , Olivier Giroud , Danny Welbeck , Robert Elliot , Jamaal Lascelles , Javier Manquillo , Florian Lejeune , DeAndre Yedlin , Isaac Hayden , Christian Atsu , Jacob Murphy , Mikel Merino , Ayoze Perez , Joselu , Matt Ritchie , Mohamed Diame , Dwight Gayle 
22513,AFC Bournemouth,Liverpool,0,4,-1, Asmir Begovic , Nathan Ake , Simon Francis , Charlie Daniels , Adam Smith , Jordon Ibe , Marc Pugh , Lewis Cook , Andrew Surman , Joshua King , Jermain Defoe , Steve Cook , Ryan Fraser , Junior Stanislas , Simon Mignolet , Andrew Robertson , Ragnar Klavan , Dejan Lovren , Joseph Gomez , Georginio Wijnaldum , Alex Oxlade-Chamberlain , Jordan Henderson , Coutinho , Mohamed Salah , Roberto Firmino , Adam Lallana , Dominic Solanke , Danny Ings 
22514,Brighton and Hove Albion,Burnley,0,0,0, Mat Ryan , Shane Duffy , Lewis Dunk , Bruno , Gaetan Bong , Davy Propper , Solly March , Anthony Knockaert , Dale Stephens , Pascal Gross , Glenn Murray , Tomer Hemed , Jose Izquierdo , Isaiah Brown , Nick Pope , James Tarkowski , Phil Bardsley , Charlie Taylor , Ben Mee , Scott Arfield , Jack Cork , Steven Defour , Johann Gudmundsson , Chris Wood , Jeff Hendrick , Ashley Barnes , Sam Vokes ,
22515,Chelsea,Southampton,1,0,1, Thibaut Courtois , Andreas Christensen , Gary Cahill , Cesar Azpilicueta , Tiemoue Bakayoko , Marcos Alonso , NGolo Kante , Victor Moses , Willian , Pedro , Eden Hazard , Davide Zappacosta , Cesc Fabregas , Alvaro Morata , Fraser Forster , Maya Yoshida , Jack Stephens , Wesley Hoedt , Ryan Bertrand  , Cedric Soares , Oriol Romeu , Pierre-Emile Hojbjerg , James Ward-Prowse , Manolo Gabbiadini , Nathan Redmond , Sofiane Boufal , Mario Lemina , Charlie Austin 
22516,Everton,Swansea City,3,1,1, Jordan Pickford , Jonjoe Kenny , Ashley Williams , Cuco Martina , Mason Holgate , Morgan Schneiderlin , Aaron Lennon , Wayne Rooney , Gylfi Sigurdsson , Idrissa Gueye , Dominic Calvert-Lewin , Tom Davies , Sandro Ramirez , Ademola Lookman , Lukasz Fabianski , Kyle Naughton , Martin Olsson , Alfie Mawson , Federico Fernandez , Roque Mesa , Leroy Fer , Tom Carroll , Wilfried Bony , Luciano Narsingh , Nathan Dyer , Sam Clucas , Jordan Ayew , Tammy Abraham 
22517,Leicester City,Crystal Palace,0,3,-1, Kasper Schmeichel , Danny Simpson , Ben Chilwell , Wes Morgan , Harry Maguire , Vicente Iborra , Demarai Gray , Wilfred Ndidi , Riyad Mahrez , Marc Albrighton , Jamie Vardy , Andy King , Shinji Okazaki , Leonardo Ulloa , Julian Speroni , Jeffrey Schlupp , James Tomkins , Martin Kelly , Scott Dann , Yohan Cabaye , Ruben Loftus-Cheek , Andros Townsend , James McArthur , Christian Benteke , Wilfried Zaha , Jairo Riedewald , Bakary Sako ,
22518,Manchester City,Tottenham Hotspur,4,1,1, Ederson , Fabian Delph , Nicolas Otamendi , Kyle Walker , Eliaquim Mangala , Ilkay Gundogan , Fernandinho , Kevin De Bruyne , Sergio Aguero , Raheem Sterling , Leroy Sane , Bernardo Silva , Gabriel Jesus , Phil Foden , Hugo Lloris , Eric Dier , Kieran Trippier , Danny Rose , Jan Vertonghen , Christian Eriksen , Mousa Dembele , Dele Alli , Harry Winks , Harry Kane , Son Heung-Min , Ben Davies , Moussa Sissoko , Erik Lamela 
