NAME,CLUB,RATING
Leighton Baines,Everton,79
Morgan Schneiderlin,Everton,79
Wayne Rooney,Everton,80
Sandro Ramirez,Everton,75
Davy Klaassen,Everton,79
Cuco Martina,Everton,71
Kevin Mirallas,Everton,78
Tom Davies,Everton,62
Jack Butland,Stoke City,81
Ryan Shawcross,Stoke City,77
Kurt Zouma,Everton,78
Geoff Cameron,Stoke City,73
Mame Biram Diouf,Stoke City,75
Erik Pieters,Stoke City,74
Darren Fletcher,Stoke City,72
Joe Allen,Stoke City,77
Bojan,Stoke City,75
Xherdan Shaqiri,Liverpool,81
Saido Berahino,Stoke City,71
Eric Maxim Choupo-Moting,Stoke City,77
Peter Crouch,Stoke City,73
David de Gea,Manchester United,91
Daley Blind,Manchester United,79
Antonio Valencia,Manchester United,82
Eric Bailly,Manchester United,82
Phil Jones,Manchester United,80
Paul Pogba,Manchester United,88
Henrikh Mkhitaryan,Arsenal,84
Nemanja Matic,Manchester United,86
Juan Mata,Manchester United,83
Marcus Rashford,Manchester United,81
Romelu Lukaku,Manchester United,87
Marouane Fellaini,Manchester United,79
Jesse Lingard,Manchester United,82
Anthony Martial,Manchester United,83
Joe Hart,Burnley,78
Arthur Masuaku,West Ham United,76
Pablo Zabaleta,West Ham United,76
Angelo Ogbonna,West Ham United,78
Winston Reid,West Ham United,77
Andre Ayew,Swansea City,77
Edimilson Fernandes,West Ham United,71
Marko Arnautovic,West Ham United,82
Mark Noble,West Ham United,76
Pedro Obiang,West Ham United,77
Chicharito,West Ham United,79
Aaron Cresswell,West Ham United,74
Declan Rice,West Ham United,69
Diafra Sakho,West Ham United,74
Robert Elliot,Newcastle United,72
Javier Manquillo,Newcastle United,74
Ciaran Clark,Newcastle United,76
Florian Lejeune,Newcastle United,78
Paul Dummett,Newcastle United,74
Jonjo Shelvey,Newcastle United,78
Christian Atsu,Newcastle United,75
Isaac Hayden,Newcastle United,72
Ayoze Perez,Newcastle United,76
Matt Ritchie,Newcastle United,77
Dwight Gayle,Newcastle United,75
Chancel Mbemba,Newcastle United,75
Jamaal Lascelles,Newcastle United,78
Mikel Merino,Newcastle United,75
Hugo Lloris,Tottenham Hotspur,88
Ben Davies,Tottenham Hotspur,81
Jan Vertonghen,Tottenham Hotspur,87
Kyle Walker-Peters,Tottenham Hotspur,69
Toby Alderweireld,Tottenham Hotspur,85
Dele Alli,Tottenham Hotspur,84
Eric Dier,Tottenham Hotspur,80
Moussa Sissoko,Tottenham Hotspur,76
