match_id,home_team,away_team,home_goals,away_goals,result,home_player1,home_player2,home_player3,home_player4,home_player5,home_player6,home_player7,home_player8,home_player9,home_player10,home_player11,home_player12,home_player13,home_player14,away_player1,away_player2,away_player3,away_player4,away_player5,away_player6,away_player7,away_player8,away_player9,away_player10,away_player11,away_player12,away_player13,away_player14
38391,Chelsea,Manchester United,2,2,0, Kepa Arrizabalaga , David Luiz , Antonio Rüdiger , César Azpilicueta , Marcos Alonso , Mateo Kovacic , NGolo Kanté , Jorginho , Eden Hazard , Willian , Álvaro Morata , Ross Barkley , Pedro , Olivier Giroud , David de Gea , Luke Shaw , Victor Lindelöf , Chris Smalling , Ashley Young , Marcus Rashford , Anthony Martial , Juan Mata , Nemanja Matic , Paul Pogba , Romelu Lukaku , Ander Herrera , Andreas Pereira , Alexis Sánchez 
38392,Everton,Crystal Palace,2,0,1, Jordan Pickford , Lucas Digne , Michael Keane , Kurt Zouma , Seamus Coleman , Idrissa Gueye , Gylfi Sigurdsson , André Gomes , Theo Walcott , Bernard , Richarlison , Cenk Tosun , Dominic Calvert-Lewin , Ademola Lookman , Wayne Hennessey , Aaron Wan-Bissaka , Patrick van Aanholt , Mamadou Sakho , James Tomkins , James McArthur , Luka Milivojevic , Cheikhou Kouyaté , Jeffrey Schlupp , Wilfried Zaha , Andros Townsend , Connor Wickham ,,
38393,Huddersfield Town,Liverpool,0,1,-1, Jonas Lössl , Zanka , Chris Löwe , Christopher Schindler , Aaron Mooy , Erik Durm , Jonathan Hogg  , Florent Hadergjonaj , Philip Billing , Alex Pritchard , Laurent Depoitre , Isaac Mbenza , Steve Mounie , Adama Diakhaby  , Alisson , Joseph Gomez , Andrew Robertson , Dejan Lovren , Virgil van Dijk , Xherdan Shaqiri , James Milner , Jordan Henderson , Adam Lallana , Mohamed Salah , Daniel Sturridge , Georginio Wijnaldum , Fabinho , Roberto Firmino 
38394,Manchester City,Burnley,5,0,1, Ederson , Vincent Kompany , Benjamin Mendy , John Stones , Aymeric Laporte , Fernandinho , Bernardo Silva , David Silva , Riyad Mahrez , Leroy Sané , Sergio Agüero , Kevin De Bruyne , Phil Foden , Gabriel Jesus , Joe Hart , Matthew Lowton , Charlie Taylor , James Tarkowski , Ben Mee , Jack Cork , Aaron Lennon , Johann Gudmundsson , Steven Defour , Jeff Hendrick , Sam Vokes , Ashley Westwood , Chris Wood , Ashley Barnes 
38395,Newcastle United,Brighton and Hove Albion,0,1,-1, Martin Dubravka , DeAndre Yedlin , Jamaal Lascelles , Federico Fernández , Paul Dummett , Mohamed Diamé , Matt Ritchie , Kenedy , Jonjo Shelvey , Yoshinori Muto , Ayoze Pérez , Joselu ,,, Mat Ryan , Lewis Dunk , Bruno , Shane Duffy , Gaëtan Bong , Beram Kayal , Alireza Jahanbakhsh , Dale Stephens , José Izquierdo , Solly March , Glenn Murray , Bernardo , Yves Bissouma , Jürgen Locadia 
38396,West Ham United,Tottenham Hotspur,0,1,-1, Lukasz Fabianski , Pablo Zabaleta , Fabián Balbuena , Aaron Cresswell , Issa Diop , Felipe Anderson , Mark Noble , Andriy Yarmolenko , Declan Rice , Robert Snodgrass , Marko Arnautovic , Michail Antonio , Grady Diangana , Chicharito , Hugo Lloris , Davinson Sánchez , Toby Alderweireld , Kieran Trippier , Ben Davies , Lucas Moura , Moussa Sissoko , Erik Lamela , Eric Dier , Harry Winks , Harry Kane , Christian Eriksen , Mousa Dembélé , Fernando Llorente 
38397,Wolverhampton WanderersWOL,Watford,0,2,-1, Rui Patrício , Ryan Bennett , Conor Coady , Willy Boly , Rúben Neves , João Moutinho , Matt Doherty , Jonny , Diogo Jota , Hélder Costa , Raúl Jiménez , Rúben Vinagre , Adama Traoré , Ivan Cavaleiro , Ben Foster , Craig Cathcart , Adam Masina , Adrian Mariappa , Kiko Femenía , Will Hughes , Roberto Pereyra , Etienne Capoue , Abdoulaye Doucouré , Isaac Success , Gerard Deulofeu , Ben Wilmot , Sebastian Prödl , Andre Gray 
38398,Brighton and Hove Albion,Wolverhampton WanderersWOL,1,0,1, Mat Ryan , Gaëtan Bong , Bruno , Shane Duffy , Lewis Dunk , Dale Stephens , Alireza Jahanbakhsh , Beram Kayal , José Izquierdo , Solly March , Glenn Murray , Yves Bissouma , Anthony Knockaert ,, Rui Patrício , Ryan Bennett , Willy Boly , Conor Coady , Matt Doherty , João Moutinho , Rúben Neves , Jonny , Adama Traoré , Hélder Costa , Raúl Jiménez , Diogo Jota , Ivan Cavaleiro , Léo Bonatini 
38399,Burnley,Chelsea,0,4,-1, Joe Hart , Ben Mee , Charlie Taylor , Matthew Lowton , James Tarkowski , Jack Cork , Johann Gudmundsson , Robbie Brady , Steven Defour , Jeff Hendrick , Sam Vokes , Ashley Westwood , Chris Wood , Ashley Barnes , Kepa Arrizabalaga , Antonio Rüdiger , David Luiz , César Azpilicueta , Marcos Alonso , NGolo Kanté , Jorginho , Ross Barkley , Pedro , Álvaro Morata , Willian , Cesc Fàbregas , Ruben Loftus-Cheek , Olivier Giroud 
38400,Crystal Palace,Arsenal,2,2,0, Wayne Hennessey , Mamadou Sakho , Patrick van Aanholt , James Tomkins , Aaron Wan-Bissaka , Andros Townsend , Cheikhou Kouyaté , James McArthur , Luka Milivojevic , Wilfried Zaha , Jordan Ayew , Jason Puncheon , Max Meyer , Alexander Sørloth , Bernd Leno , Shkodran Mustafi , Rob Holding , Granit Xhaka , Héctor Bellerín , Mesut Özil , Pierre-Emerick Aubameyang , Matteo Guendouzi , Alex Iwobi , Lucas Torreira , Alexandre Lacazette , Stephan Lichtsteiner , Aaron Ramsey , Danny Welbeck 
38401,FulhamFUL,AFC Bournemouth,0,3,-1, Sergio Rico , Denis Odoi , Timothy Fosu-Mensah , Tim Ream , Maxime Le Marchand , Aboubakar Kamara , Ryan Sessegnon , Jean Michael Seri , Kevin McDonald , André Schürrle , Aleksandar Mitrovic , André-Frank Zambo Anguissa , Tom Cairney ,, Asmir Begovic , Simon Francis , Nathan Aké , Steve Cook , Charlie Daniels , Adam Smith , Jefferson Lerma , Lewis Cook , David Brooks , Ryan Fraser , Callum Wilson , Dan Gosling , Junior Stanislas , Jermain Defoe 
38402,Leicester City,West Ham United,1,1,0, Kasper Schmeichel , Harry Maguire , Ben Chilwell , Çaglar Söyüncü , Daniel Amartey  , Marc Albrighton , Wilfred Ndidi , Rachid Ghezzal , James Maddison , Vicente Iborra , Kelechi Iheanacho , Demarai Gray , Jamie Vardy , Shinji Okazaki , Lukasz Fabianski , Arthur Masuaku , Fabián Balbuena , Issa Diop , Pablo Zabaleta , Robert Snodgrass , Mark Noble , Felipe Anderson , Declan Rice , Grady Diangana , Chicharito , Angelo Ogbonna , Aaron Cresswell , Michail Antonio 
38403,Liverpool,Cardiff CityCAR,4,1,1, Alisson , Virgil van Dijk , Trent Alexander-Arnold , Alberto Moreno , Dejan Lovren , Sadio Mané , Georginio Wijnaldum , Fabinho , Roberto Firmino , Adam Lallana , Mohamed Salah , James Milner , Xherdan Shaqiri ,, Neil Etheridge , Sol Bamba , Bruno Ecuele Manga , Joe Bennett , Sean Morrison , David Junior Hoilett , Josh Murphy , Víctor Camarasa , Aron Gunnarsson , Callum Paterson , Bobby De Cordova-Reid , Kadeem Harris , Loïc Damour , Kenneth Zohore 
38404,Manchester United,Everton,2,1,1, David de Gea , Ashley Young , Luke Shaw , Chris Smalling , Victor Lindelöf , Paul Pogba , Fred  , Nemanja Matic , Marcus Rashford , Juan Mata , Anthony Martial , Jesse Lingard  , Ander Herrera , Romelu Lukaku , Jordan Pickford , Michael Keane , Lucas Digne , Kurt Zouma , Seamus Coleman , André Gomes , Bernard , Idrissa Gueye , Gylfi Sigurdsson , Theo Walcott , Richarlison , Ademola Lookman , Cenk Tosun , Dominic Calvert-Lewin 
38405,Southampton,Newcastle United,0,0,0, Alex McCarthy , Wesley Hoedt , Ryan Bertrand , Jack Stephens , Cédric Soares , Mario Lemina , Oriol Romeu , Mohamed Elyounoussi , Nathan Redmond , Charlie Austin , Danny Ings , James Ward-Prowse , Manolo Gabbiadini , Shane Long , Martin Dubravka , DeAndre Yedlin , Paul Dummett , Federico Fernández , Jamaal Lascelles , Jonjo Shelvey , Matt Ritchie , Mohamed Diamé , Kenedy , Ayoze Pérez , Yoshinori Muto , Ki Sung-yueng , Christian Atsu , Salomón Rondón 
